text,category,priority
chase sapphire reserve card purchased five camera online merchant received four provided documentation confirming form packing slip indicates sent four camera dispute denied without reason reason thoroughly reviewed information based determined billing error occurred,admin_error,medium
notified citi billing error involving charge received notification dispute opened day citi sent email stating heard back merchant would reviewing detail get back within day cit sent email claiming sent secured message regarding status dispute requesting information record secured message sent however citi sent confirmation receipt billing dispute detail requested message regarding status dispute provided citi document provided merchant forwarded citi acknowledged dispute receipt detail regarding dispute receipt documentation merchant however citi failed provide merchant response continue properly proceed dispute required resulted citi charging disputed amount back account without notice providing required documentation violation citi routinely make,admin_error,medium
purchased computer affiliate company former employer name payment computer made via payroll deduction computer paid full prior resignation former employer fact ensure outstanding balance owed prior departure outstanding balance computer deducted final paycheck reported debt collection agency name dyck outstanding balance false made attempt speak someone billing error avail also disputed charge collection agency avail error reported must deleted,admin_error,medium
contacted radius global solution regarding medical collection account issue insurance billing able get correct issue remove balance close account even sent email proof bill adjusted originally emailed contact collection agency remove debt credit report contacted radius global spoke supervisor told either would call could get something faxed get account updated contacted rep informed account waited reached manager authorized adjust account well rep told sending something radius global get debt removed also emailed something showing account updated reflect called radius back passed around got supervisor explained trying get mortgage loan needed removed immediately told previous rep radius verified account recalled verified recalled could get removed credit report asked made since would continue report collection billing error stated want misinform saying told something wrong stated dont normally receive call requesting find hard believe said would research could call back monday might info said would reach department recall believe honest seems illegal practice continue report something recalled original company account result incorrect billing part really need resolved information removed immediately trying get mortgage loan approved holding process,admin_error,critical
letter dated stated following reason decision close account fico score provided recent payment made returned unpaid financial institution based credit report past due creditor assessment total revolving balance credit card indicated consumer credit report post receipt letter provided notified victim identity theft resulted following reported information adversely affected fraudulent incorrect fico score payment history creditor total revolving balance indicated consumer report regard payment returned payment referenced returned due security closure checking saving account done protect adverse consequence fraud experienced federal regulation card member agreement state limit liability fraudulent transaction resulting identity theft taking adverse action fully informed victim identity theft fraudulent information reflected credit report result followed provided instruction provided submitted countless requested document proving status victim never missed payment correct account listed consumer credit report provided following data documented evidence verifying identity theft fraudulent event financial institution document validating identity copy request fraudulent information removed cras copy ftc identity theft affidavit copy fcra copy credit report showing fraudulent information investigated removed successfully last correct account statement received copy official complaint fdic copy initial complaint filed comptroller currency copy ftc complaint bank statement showing income deposited ability pay consumer right prohibit information contained consumer file consumer reporting agency used connection credit insurance transaction initiated consumer e consumer may exercise right referred subparagraph notifying notification system established section e additionally summary applicable standard udaaps unfair act practice act prohibits conduct constitutes unfair act practice act practice unfair cause likely cause substantial injury consumer injury reasonably avoidable consumer injury outweighed countervailing benefit consumer competition substantial injury typically take form monetary harm fee cost paid consumer unfair act practice injury monetary although emotional impact subjective type harm ordinarily amount substantial injury certain circumstance emotional impact may amount contribute substantial injury besides actual injury required significant risk concrete harm sufficient injury reasonably avoidable consumer act practice interferes hinders consumer ability make informed decision take action avoid injury injury caused transaction occur without consumer knowledge consent reasonably avoidable adverse action defined equal credit opportunity act fcra include denial revocation credit refusal grant credit amount term requested regulation b defines refusal grant credit substantially amount substantially term requested application unless creditor make applicant us expressly accepts credit offered fcra contrast defines adverse action broadly include section ecoa denial cancellation increase charge reduction adverse unfavorable change term coverage amount insurance existing applied connection underwriting insurance denial cancellation increase charge adverse unfavorable change term government license benefit connection account review adverse consumer interest dramatically changing term account without required notice removing member reward program confiscating accrued point taking adverse action fraudulent prohibited information failing property investigate billing dispute closing account without notice chose act willful noncompliance aforementioned statute regulation action taken response identity stolen directly caused massive substantial financial emotional injury concrete harm forfeiting reward point failing fully investigate correct billing error closing account initially caused thousand dollar financial harm negatively impacting credit drastic impact credit score led severe emotional damage massive direct financial loss due inability reasonably avoid adverse action substantial unavoidable damage exacerbated deceptive practice employed include furnishing negative information credit reporting agency led drastic drop fico score preventing recovering theft identity result prevented obtaining favorable future credit selling debt resulting identity theft several party debt collector multiple debt collector file lawsuit recover invalid debt informing one debt collector dispute alleged debt informed able validated lawsuit would dropped failing drop multiple suit obtain debt due identity theft indicated illegally obtaining judgment without knowledge admitting failing comply request debt validation refusing remove judgment obtained illegally obtaining receivership without knowledge receivership removed still refusing remove judgment obtained deceptive measure refusing correct many error adverse action taken fraudulently even repeatedly informed concrete severe emotional financial harm caused willful noncompliance evidence willful noncompliance violation fcba dtpa law supported cfpb complaint replied stating unable locate certified document submitted referenced correspondence initial letter submitted done certified mail document upload site faxed week submission called informed received would reviewed yet reply cfpb complaint stated receive referenced documentation contrary proof receipt referenced documentation even attached complaint directly demand cease willful noncompliance deceptive practice required law reinstate account good standing well remove collection attempt judgment filed unverified fraudulent regard,admin_error,high
called experian response credit freeze letter letter incorrectly identified credit frozen called ivr tried almost minute get human discus letter could finally went online found phone number small business service got human minute explained letter incorrect freeze credit experian consumer ivr must unfriendly unhelpful ivr ever used terrible actually wasted time consumer confused deliberately ended send letter go online wo use experian online service trial period start charging need use online service year something completely unfair wrong charge customer use online application resolve problem experian created first place especially since ivr drive use online tool experian charge use online tool month using,admin_error,high
holder credit card issued well fargo upon becoming learnt law right afforded consumer realize high possibility breach sent certified mail billing error dispute affidavit proof delivery return receipt well fargo provide response evidential value billing error dispute affidavit sent certified mail please see copy correspondence sent well fargo requesting assistance clearing false information credit report,admin_error,medium
dear officer property originally financed hsbc bank loan also modified bank recently refinanced loan two wrong charge posted account hsbc one one able catch first unjustified charge since stated monthly mortgage statement prior refinance however second charge revealed till exactly day prior refinance closing date xxxxxxxx recoverable balance attachedxxxx borrower estimated settlement statement must closed refinance otherwise would lose favorable refinance rate well advanced paid appraisal hsbc stated charge incurred due loan modification explained disclosed hsbc loan modification agreement clearly stated unpaid amount loan modification summed included final modified loan amount loan modification agreement highlighted yellow based explanation evidenced modification agreement hsbc removed first duplicate charge hsbc letter however soon loan refinanced hsbc responding refunding second unjustified charge since actively pursued resolve issue amicably directly hsbc however inferred customer longer able defend right therefore kindly seek assistance investigate unwarranted charge committed hsbc soon practically possible thank much advance please let know additional document needed,admin_error,medium
creditor failed make appropriate correction account obligor requited b failed conduct reasonable investigation billing error within complete billing cycle consumer receipt billing error notice reported required b ii,admin_error,medium
disputed two transaction totaling credit card account ending processed website transaction question coded bank america provided statement follows pension pension creditor bank america received written request identifying merchant amount date transaction responded stating bonk america unable process inquiry timely disputed transaction within day prescribed fair credit billing act repeatedly asked creditor bank america contact merchant website provide documentary evidence charge creditor bank america failed timely manner either give temporary credit provide documentary evidence verify charge card required fair credit billing act code correction billing error bank america representative bonk america resolution specialist kept looking excuse inventing reason deny helping first stated unable find disputed transaction provided letter identifying disputed transaction falsely claimed claim filed transaction within allowed timeframe provided bank response dispute stating unable process inquiry stop responding communication eventually run excuse either inept unable help dishonest purposely avoiding answering inquiry appears creditor bank america either negligently intentionally allowed expire timeframe request supporting documentation merchant bank america failed contact merchant attempting resolve dispute within timeframe writing provided communication received merchant indicative merchant position concerning charge dispute federal law fair credit billing act provides remedy consumer outlined section e follows effect noncompliance requirement creditor creditor fails comply requirement section section title forfeit right collect obligor amount indicated obligor,admin_error,medium
made several game purchase using credit card learned recently game hacked also noticed several duplicate charge credit card reached game provider app store refund requested credit card dispute transaction disputed fraction transaction whereas transaction duplicate charge go way back,admin_error,medium
billed third time amount even dated posted year old american veteran dollar amount typed incorrectly earlier complaint please forgive error great deal problem due incorrect billing jp morgan chase bank one purchase jp morgan chase billed three time please kind assist get negligent incorrect billing corrected,admin_error,medium
purchased flight scheduled using mile valued using chase bank travel portal informed airline flight cancelled due pandemic reached regarding refund stated since booking came chase reach refund spent hour customer support chase bank repeatedly told could refund without airline consent informed dot enforcement order issued http stated entitled refund stated could wife emailing back forth banker chase try get entity chase bank talk also successful attempting file complaint billing error usc title chapter subchapter part section b http,admin_error,medium
hello please kind review document submitted attempted multiple time husband resolve billing error pay rightful amount met hostility refusal review actual binding document included final account statement provided national credit system apartment lease contract bank statement showing paid apartment lease contract stated due date lease contract signed concrete proof showing paid deposit due discussed point national credit systemsxxxx representative multiple time refused take binding document seriously ironic law firm hung u multiple time yelled u pay bill trying make point there accounting error must corrected first pay last document bank statement show used pay deposit outlined contract credited bill rather showing bill difference amount pay told willing pay correct amount showed interest resolving hoping able help u rectify situation thank time,admin_error,medium
contacted multiple time company demanding payment incorrect also submitted writing disputing amount company sued multiple time overcharging customer false advertisement incorrect billing also alerted multiple time alert placed company class action lawsuit wasnt aware fianc passed away need everything repair credit creditor yet resolve issue would like removed credit report due incorrect overcharged fee harassment attached proof information,admin_error,high
made online purchase amount order used credit card make purchase charged two time charge posted barclays card received order tried contact customer service able get response address issue frustration returned merchandise sent email received return issued refund still charged duplicate charge tried disputing barclays card merchant helpful barclays responded letter stating could help tried calling barclays hold hour reached representative told barclays accidentally charged twice would crediting charge rep told prove make second charge tried explain several way clearly duplicate charge placed one authorized charge still seeking credit second charge told supervisor would call business day resolve never heard anyone since would appear barclays attempt address duplicate charge proof second charge second charge placed one authorized charge since returned merchandise merchant credited still charged second charge attached credit card statement showing charge merchant email confirming received return merchant email confirming issued return statement showing credit letter barclays able resolve issue document show second charge credited yet happen,admin_error,medium
currently loan exeter finance texas since experience short fall last year boyfriend medical year paid finished paying told next payment due keep mind told caught granted record day received notice exeter eg scheduled payment due since balance payment posted nothing also reported several time last week ago nothing payed reg payment called make payment told due covid helping customer would like skip make payment said sure told would put recorded line agreed skipping payment told next due said shortly received something mail telling payment due tried call several time never got thru said witness conversation thought maybe typo call make reg payment spoke told owed charged back year asked different time put hold assured ok made payment decided wanted trade thought caught ok tried trade told hour waiting ridiculous phone call exeter made could trade told u bank said reporting payment asked u money truck told bogus trying get finance co phone exeter several phone call put hold transferred time ready give deal people anymore went everything also told received statement since like one recently saying owed payment said something still owed back got carried granted never notified called still understand talking told caught meanwhile phone call said owed well lie wrong charged interest since ever notified getting statement co email reported credit according dealership know told exeter reporting payment look like payed anything needle say lost contact phone exeter return phone call tried call different time today co spoke different people put hold transferred one pretended could hear requested pay still wont give one could transfer showing different number owe today understand looked people happening others feel reporting payment vehicle also reported credit co fault charged interest fault back need help something right said would send statement copy finance agreement week nothing received call work get seeing voice mail give someone typing message something seriously wrong need help screw credited asked going happen one lied could disclose also told well get save payment info may able make payment next time tell save guess wont get paid know right told,admin_error,critical
see attatched usaa statement transaction duplicate charge plus duplicate transaction total duplicate transaction never resolved,admin_error,medium
dear since ive notified comenity capital bank dispute billing error amount credit card account credit card amount inaccurate prompted store cashier apply credit card additional saving purchase cashier assured could immediately open credit card account pay purchase immediately pay purchase debit card purchase done per enclosed bank statement transaction amount shocked receive credit card amount immediately called comenity capitol bank reported error comenity capital bank additionally recommended report billing error via comenity capital bank website mailed comenity copy statement depicting puechase debit card received letter comenity capital bank requesting provide electronic transmittal inquiry form along full payee information credit card account number bank transaction relationship manager ok provided attached letter contained itemized data transaction information immediately mailed commenity capital bank oh received letter comenity capital bank stating unable track payment informationand requested provide clear copy store receipt reported comenity initially reported billing error receipt disgarded believed reason keep concluded back statement debit account number clearly depicts amount paid store ok confirms debit card transaction includes following transaction information amount debit card transaction transaction account number authorization type terminal id terminal address terminal city terminal state sequence number debit card expiration date debit card number credit card statement depict charged credit card account number statement depict due date provided comenity capital bank bank statement letter confirming transaction comenity capital bank steadfastly refuse credit credit card billing error consumer financial bureau please help assistance would sincerely appreciated much ok,admin_error,critical
made single purchase using paypal key created personal visa paypal computer broke transaction multiple debit totaling rather thus showing negative balance account asked please review went wrong charge correct amount authorized visa checked bank confirm place restriction card account paypal paypal refuse correct transaction claiming fault visa account confirmed issuing bank happen absolutely argument paying due want charged originally visa file showing payment merchant far tell recorded payment complete must indicate paypal indeed pay full amount transaction could would bill correctly,admin_error,medium
attention honorable ca allied regulator may legal definition harassment never le continually asked cmre collection agency payment bill ive already paid mean must take time away important issue define detail cmres charge either mistake complete fabrication billing submittals doctor office erroneous example cmre list recent demand payment office visit travel mile asked result afterwards via patient supplied site post comment never got therefore travel test done worthless unfortunate since technician seemed thorough result would believe worth time expense example one error visit contained billing error visit made original bill insurance pending insurance call speak woman office math error agreed fix otherwise bill stated owed correct amount owed otherwise would go billing office pay toll call correct mistake made sure difficult costly possible contact issue arranged see bill affordable insurance appear statement year since left refused pay bill number year elapsed receiving new patient considered receiving bill old would totally destroy recording keeping forcing look back many year make sure valid also spoke person office agreed bill old presented didnt appear subsequently also within stated policy expectation patient receive charge within day procedure following response crme demand payment payment record cmre list original bill unpaid listed zero responsibility statement dated amount paid statement total chk amount original balance dated listed zero responsibility statement dated billed paid chk amount included described service cmre list total due though paid visit shown statement dated also paid chk amount included visit statement service issue double billing cmre got triple billed service though paid originally via chk statement presented statement dated outstanding service paid total included follows procedure coded brevity original balance electrocardiogram dated listed zero responsibility statement dated procedure coded listed statement service paid chk originally charged cmre also added interest already paid procedure coded patient responsible also paid receipt statement dated chk amount listed procedure coded patient responsible statement dated also paid chk amount procedure coded patient responsible per statement dated also paid chk amount listed due ongoing problem billing waited previous bill available paid desire put billing mistake math error debt collector threat returning medical center kind treatment enhance person health treatment consisted one test another resolution need add result value one requiring lose weight undertook volition suggestion medical doctor appeared interested prescribing yet test little suggestion afterwards indicated particular asked magnetic resonance image taken near end listed visit felt time direction expensive test needed told care xxxxnsurance pay correct answer fill blank since proceeded time answered reason previously payment longer due already paid must go next step requesting federal trade commission federal trade commission fair debt collection practice act ftc fdcpa step put stop illegal request money already paid following screen shot balance enough show acknowledges paid service provide statement well bank statement showing charge paid happen cmre first fined submitting demand payment already paid fully verified upon additional request cmre also made pay cost statement bank record access billing account access billing account way provided im given specific direction recipient receipt record includes allowing cmre directly view image shown showing balance owed cmre persists need banned debt collector protect others ive experienced gladly provide copy statement well bank show payment service paid ive noted statement check number bank used make payment statement additional cost copy statement copy sent usps bank ftc fdcpa well debt collector cmre appears either communication billing debt collector cmre cmre attempting see able intimidate paying debt also made spread sheet contains bit easier follow im sure way include recipient message image removed much appreciate response event issue continues court look evidence response provide additional proof justification cmres demand payment extend gratefulness help afterwards public news source read others unjustly intimidated payment owe stop cmre banned debt collector well number description apply rule law ignored suggest deeper look see collusion within generate duplicate request payment provided insight double billing within received cmre understandable one sheet listed amount due another listed due distinction defined far im concerned paid full service via final chk requested statement dated see image showing current balance possible intended recipient cmre federal trade commission consumer financial protection bureau ca cc cmre ftc cfpb california ca,admin_error,critical
medical name claiming owe lab bill last year meanwhile info doctor office call office said cover time test ask maidcaid office give proof coverage want bill pay including card billing refuse tried many attempt hard instead helping need collection remove credit file result incorrect billing error adding cc file number file number amount file number amount,admin_error,critical
filed dispute auto insurance come automatically accidentally paid well realized error immediatelly called american express national bank filed dispute time told still pending account would take day returned account seventh day checked account monies account transaction posted called bank inquire monies told dispute filed could get money returned another day looked account also seen duplicate charge try rectify situation mean told done part also waited returned money told customer service rep wanted speak supervisor continuously continued speak insisted speak supervisor also give monies supervisor customer rep number follows account number bank american express national bank,admin_error,medium
company drained bank account home loan purchase never closed messed ordered unnecessary document kept charging card basically authorize debit card order certain ordered document irreverent tthey said would refund loan loan never ended closing thousand proff saying would refund closing realtor even asking ordered document im sick disputing getting nowhere refusing give money scammer basically get authorization order party sit back saying company charged u scam immorally wrong charged reason would get loan pay pocket could understand pocket get hoa questionnaire company employee know order drain bank account even able close loan end paying cash house anyway anyone everyone know paying cash home get better deal put debt still refuse refund whats owed least purchase furniture crazy tried contacted tried disputing bank wait last day respond prolong dispute reject contacted told im making compliant wrong company basically company tie get document company info western mortgage branch nmls nv http nmls id right consumer suffer especially durning time,admin_error,medium
collection agency capio partner called multiple time client first call advised debt paid son insurance finished another dispute another collection agency said hospital made billing error man rude said would mark disputed nothing would really happen needed pay asked fax number address send proof hospital error refused said would get letter never explained like prior dispute debt never signed son hospital never saw doctor hospital given insurance information several time said office received debt pay asked verify debt admitted billing error different agency said absolutely would advised governor put hold collection activity due covid advise send proof valid debt would record also asked call regarding matter called multiple time since provide written communication immediately reported debt credit file day violation specific request right disturbing direct violation government order since governor suspended collection activity trying financial time additionally incomprehensible physician would charge never saw patient especially patient brought ambulance,admin_error,critical
started selling various new used item popular website part selling aforementioned website forced using paypal payment processor term forced used due fact viable payment processor offered seller site appropriate account set operated various time emphasis added organization required verification different aspect attribute normal successful startup occurred operating running viable account nearly month business proceeded well sale successfully completed without issue many aforementioned sale came encouraging feedback customer platform positive feedback shared stored well abruptly without warning notice kind commination paypal inc severly limited account result longer able sell conduct commerce platform business came halt noted occurred without notice without warning numerous request paypal inc issue went without answer even reply reply given often give answer solution resolving issue soonthereafter paypal inc informed intendted drop customer see attachment concern correspondence pertains following issue deciding longer business paypal inc put immeidate hold fund therefore access fund account paypal claim see attachment hold money day reduce risk chargebacks thus potential liability various state federal law regulation allow day hold hold practice based upon reasonability key potential risk thwarted current hold fund inappropriate need removed released reasonable paypal type risk chargeback several hundred sale put payment processor never chargeback type erroneous billing error end furthermore many sale used fund account received positive review buyer furthermore aforementioned hold appropriate due fact much money thge account derived sale dated paypal inc arbitrarily chosen day benchmark claimed fund released refuse tell time frame started end fact able paypal inc give exact date writing funding account paypal inc derived sale many sale occurred six month ago therefore risk chargeback said sale demanded paypal inc release fund account,admin_error,medium
